"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60"
"Gene677",-0.0689,-0.1545,0.2169,-0.3333,0.114,0.3346,-0.0447,0.0635,0.2889,-0.5345,0.1066,0.1022,-0.1373,0.2918,-0.1532,-0.4354,0.1059,-0.0569,0.0195,0.1726,-0.1535,-0.2793,0.2867,-0.137,-0.1823,-0.0122,-0.2183,-0.2214,0.1477,0.0494,-0.0925,0.1434,-0.3041,-0.3201,0.0675,0.1389,-0.0237,-0.1346,-0.2006,0.0409,-0.1631,0.0188,0.1798,-0.3251,0.1688,0.1368,0.1037,0.1168,-0.1523,0.0023,0.1816,0.298,0.3122,0.328,-0.1291,-0.1752,0.5884,-0.1082,-0.2818,-0.0817
"Gene678",-0.0612,-0.1771,0.1692,0.3974,-0.2016,0.0514,0.0588,-0.3083,-0.3808,0.6637,0.8754,-0.3358,0.2542,-0.0811,0.1103,0.024,-0.045,0.0472,-0.0807,-0.1249,0.6224,-0.5447,-0.1143,-0.6466,-0.5348,0.2086,0.1746,-0.1597,0.2123,-0.294,-0.4123,0.4446,-0.3243,-0.2013,-0.0015,-0.0406,0.366,0.0072,-0.2425,-0.0046,0.0418,0.4529,0.3632,0.3075,-0.5478,0.2929,-0.0883,0.257,-0.4708,-0.3858,0.0335,0.4664,0.3107,-0.3821,0.6159,-0.2127,-0.1439,0.0089,-0.3551,-0.0952
"Gene679",0.0488,0.1234,0.3302,-0.0423,-0.1969,-0.1236,0.3537,-0.2245,0.1347,0.6274,0.7639,0.2586,0.2688,-0.177,0.4141,-0.2134,-0.3513,0.4723,-0.1209,-0.2356,-0.3946,-0.0218,-0.0026,-0.3153,0.1816,-0.0582,0.297,-0.0627,0.3088,-0.4066,0.2201,0.4834,-0.3245,-0.5426,0.2634,-0.1778,0.4396,-0.279,-0.7114,0.4205,1e-04,0.1264,0.2725,-0.008,0.0453,0.1054,0.0304,-0.5983,-0.3845,0.3764,0.4304,0.2498,0.0308,-0.3025,0.2618,-0.1514,-0.1126,-0.4097,-0.4966,0.1308
"Gene680",0.1209,-0.9546,0.0854,-0.0678,-0.0468,-0.6449,-0.1799,0.6537,-0.4789,0.3244,0.0716,-0.6211,-0.0055,-0.4404,0.0912,0.2895,-0.1345,0.5311,-0.554,-0.4229,0.2838,0.2485,0.444,-0.9082,0.2933,-0.6317,-0.3074,-0.03,-0.2914,0.0579,-0.073,0.2132,0.3121,-0.2375,-0.5359,0.4341,-0.7229,0.2496,-0.1581,0.8917,0.222,1.069,0.1035,0.2222,0.5595,0.5439,-0.9203,0.2397,0.2263,0.2079,0.3661,-0.5172,0.3652,0.2639,-0.1595,-0.011,-0.4103,0.2557,-0.4914,0.0605
"Gene681",-0.0069,-0.2456,-0.2658,0.0923,0.1706,-0.6979,-0.2048,0.184,0.1587,0.0317,0.0695,-0.3261,-0.0785,0.167,-0.0024,-0.1339,-0.0152,0.0198,-0.0702,0.0169,-0.3473,-0.1355,-0.2915,-0.1954,-0.0912,-0.2051,0.0052,-0.0057,0.0555,0.3929,0.1549,-0.2253,0.1031,0.0324,-0.1312,0.0103,-0.0209,-0.1211,-0.0612,-0.1626,-0.1997,-0.1392,0.2353,-0.0228,-0.0947,0.1546,0.2431,0.152,0.0358,0.1822,-0.1437,-0.162,-0.0729,-0.1329,0.2902,-0.1078,-0.2192,0.0966,-0.6566,-0.0533
"Gene682",0.7451,0.1304,-0.6016,0.3642,-0.3554,0.5469,0.4949,-0.4038,-0.4062,-0.5855,0.63,-0.5762,0.6703,-0.386,0.4926,-0.6264,0.1813,-0.0987,0.4008,0.9026,0.7495,-0.6239,-0.7847,-0.2161,-0.4065,0.6138,0.8654,-0.6118,-0.4548,0.1269,-0.8147,0.4153,-0.5553,-0.4589,0.7268,-0.7148,0.3892,-0.0707,-0.0186,-0.0173,-0.8096,0.4295,0.6294,-0.5975,-0.9227,0.5309,-0.8945,0.1737,-0.8377,0.3325,-0.5389,0.7349,-0.4259,-0.5764,0.2862,-0.5753,-0.3943,0.1884,-0.7776,0.3464
"Gene683",0.268,-0.6276,0.5788,-0.109,-0.9901,0.0796,0.1019,0.2104,0.0953,-0.4136,0.297,-0.032,-0.9804,0.4789,0.141,0.1497,0.1438,-0.6653,0.2004,-0.5693,-0.6417,0.382,-0.4364,0.4671,-0.0555,0.2405,0.3266,0.7617,0.3179,-0.1018,0.6692,0.33,-0.0199,0.9616,0.111,0.1838,0.1129,-0.0441,-0.6907,-0.1525,-0.1871,0.4409,-0.7297,-0.3207,-0.1187,-0.6465,0.5279,0.0482,-0.0483,0.1663,-1.0514,0.748,-0.0609,0.1082,0.3897,-0.5309,1.049,0.1291,0.596,0.5607
"Gene684",-0.0545,0.1586,0.1622,-0.5619,0.4392,-0.4909,-0.0431,-0.219,0.0214,0.0845,-0.0508,-0.0463,-0.163,-0.0984,-0.2018,0.459,0.3431,-0.1807,-0.3738,-0.1479,0.6428,0.6335,-0.0744,0.0723,-0.0723,-0.4175,-0.0329,0.1993,-0.1529,-0.2004,0.0634,0.2385,0.0826,0.5733,0.1466,-0.1227,0.2302,-0.13,-0.4602,0.0448,-0.101,-0.1463,-0.1852,0.2332,-0.1822,-0.0562,0.2852,0.1611,0.2464,0.1211,0.306,-0.109,0.1564,0.4435,0.0998,0.1273,0.0261,0.0263,-0.3458,0.1811
"Gene685",0.3837,-0.0122,0.0392,-0.2072,0.0564,-0.0955,-0.4221,-0.2192,-0.1632,-0.1452,0.2165,-0.0498,-0.1445,-0.2017,-0.1188,0.0287,-0.3304,-0.0328,0.4065,0.5047,-0.0443,-0.1223,0.2597,0.1988,-0.1504,0.3037,-0.187,0.1781,0.0458,-0.0491,-0.0588,-0.1327,0.0115,-0.0126,0.1159,0.4012,0,0.2835,-0.0597,0.1475,0.7788,0.3847,0.2923,-0.2403,0.1504,0.4207,0.0189,0.2822,-0.0721,-0.0193,-0.0539,-0.0294,0.6556,-0.0257,-0.2684,-0.5757,-0.0994,-0.0758,0.1157,0.2307
"Gene686",-0.1697,-0.2347,0.7482,0.2369,-0.0092,0.2047,-0.5911,0.0691,0.3979,0.2516,-0.2455,0.0031,0.3065,0.024,0.1895,0.1284,-0.1796,0.1236,0.0594,0.1656,-0.4548,0.0625,-0.3274,0.0794,-0.0093,-0.4761,0.1052,-0.5258,-0.3062,0.5448,0.3922,-0.2915,0.2493,-0.0205,0.1622,0.3551,-0.1347,0.4382,-0.0824,-0.0798,0.1017,0.3686,-0.0823,-0.1457,0.3725,-0.0696,0.1553,-0.2757,0.0769,0.2805,-0.7237,-0.5354,0.1585,-0.1728,0.0752,-0.0353,-0.2358,0.5997,-0.4898,0.0639
"Gene687",0.6149,-0.2577,-0.4764,-0.2762,-0.0574,-0.6579,-0.2313,0.941,-0.4868,0.2584,-0.1276,0.0313,0.6694,-0.2621,-0.3837,-0.41,0.081,-0.1868,0.3975,-0.369,0.2102,0.3883,-0.4338,0.1006,-0.2737,-0.3818,-0.2901,-0.6186,0.0744,0.3566,0.517,0.2197,-0.4649,0.4579,-0.3389,-0.3111,-0.2411,-0.1417,0.0922,-0.2444,-0.2886,-0.1249,-0.6421,0.0133,-0.5025,0.1246,-0.0287,-0.5605,0.6303,0.1815,-0.5752,-0.0635,0.2201,0.215,-0.328,-0.2365,-0.3765,0.022,0.288,-0.1042
"Gene688",0.2701,0.0814,-0.0068,0.2559,-0.5012,0.9864,-0.3034,-0.0887,0.3305,-0.4128,-0.5623,-0.0709,0.2522,-0.2087,-0.1596,0.6297,0.0513,-0.2685,0.2465,-0.0066,0.4979,-0.1619,-0.4098,-0.7444,-0.1874,0.2647,0.2835,-0.0719,0.587,-7e-04,-0.152,0.5207,-0.1159,-0.9713,0.1826,-0.7004,0.2672,-0.4315,0.5121,0.1126,-1.2455,0.1632,0.0627,-0.4107,-0.1803,0.482,-0.8969,0.1212,-0.5257,0.0782,0.0593,-0.0024,-0.3402,-0.4083,0.7347,-0.1901,-0.0868,-1.0082,-0.2158,0.272
"Gene689",0.3041,0.7768,-0.6685,-0.1611,-0.2035,1.0774,0.7097,-0.6745,0.1977,1.1105,-0.2865,0.0175,-0.0768,-0.523,0.1566,1.0872,0.3577,-0.3913,0.8519,0.1054,-0.6943,0.3067,0.0179,-0.9025,0.325,0.8486,-0.3369,0.1499,0.2448,1.0358,0.5953,-0.2559,0.1615,0.0063,-0.2735,-1.4055,-0.0383,0.1501,0.3711,-0.582,-0.5459,0.786,-0.5698,-1.2198,-0.9206,0.6101,-0.2288,0.1635,0.2878,-0.5033,0.3147,0.4036,-0.9937,0.2842,-0.8991,0.6545,-0.0186,-0.1056,0.0304,0.2753
"Gene690",0.5134,-0.2888,-0.0301,0.0263,-0.1852,-0.0565,0.2583,0.1397,0.2402,0.0906,0.6582,0.0776,0.0963,-0.3281,-0.1941,-0.1007,0.4521,-0.0268,-0.0994,0.4123,0.1109,-0.301,-0.3097,-0.1686,-0.2408,-0.0696,-0.471,-0.2676,0.5748,-0.2942,-0.5545,-0.2759,-0.9977,-0.4922,0.1622,-0.2772,0.2676,-0.0017,0.3834,0.0287,-0.1716,0.3556,0.6216,0.2053,-0.2858,0.1644,-0.8886,-0.0418,-0.3424,-0.3056,-0.1172,0.6948,-0.3293,-0.293,0.3118,-0.4205,0.2291,-0.2014,-0.0116,-0.2338
"Gene691",-0.2027,-0.1303,0.0393,0.031,0.0476,0.2619,-0.3727,0.2135,-0.151,0.6375,-0.2034,0.4275,0.1619,0.6211,0.008,0.1695,0.1168,0.1857,-0.5603,-0.0811,-0.1252,0.1071,0.3913,0.6576,0.173,0.081,-0.0386,-0.1833,0.1188,-0.6938,0.2327,-0.2484,0.6394,0.0552,-0.4401,0.2322,0.2029,0.168,0.4633,0.1912,0.3197,-0.2138,0.2239,0.3727,0.4521,0.0702,0.4358,-0.1151,0.1909,-0.0901,-0.2783,-0.0364,0.4773,0.4391,-0.0102,-0.0475,0.1451,0.2574,0.1531,0.2319
"Gene692",1.4222,0.5737,0.9189,2.2787,-0.6701,-1.512,0.0193,0.1254,0.3579,1.6481,-0.71,-1.3316,0.6585,1.6562,-0.6826,1.0827,0.0054,-0.0614,0.2382,-1.5365,-0.8203,1.0783,0.0493,-0.3743,-0.5154,-0.4749,0.3934,1.3817,1.0495,0.0775,-1.9317,-0.151,0.0184,0.7661,0.7654,-1.2295,-0.171,1.0785,0.0907,0.7103,-0.4314,-0.3882,-0.4035,-0.5368,0.5881,-1.5988,-0.0743,0.2457,-0.3522,-0.1151,0.5588,0.7022,-0.6503,-0.4177,-0.3953,-0.1752,-0.2382,0.0633,-0.6289,0.3972
"Gene693",-0.303,-0.6744,-0.1819,0.2347,-0.2571,-0.1914,-0.1613,0.2174,-0.255,-0.7398,0.3617,-0.0457,-0.5287,0.044,0.2163,0.0488,-0.6733,-0.3364,0.1094,-0.076,0.1564,0.0106,0.0695,0.0264,-0.1171,0.2132,-0.5017,0.292,0.206,-0.1488,-0.302,0.0164,-0.2541,0.0595,0.1494,-0.3817,0.3308,0.2674,0.4814,0.6619,0.2582,0.5876,-0.3343,-0.2529,-0.4146,-0.6968,-0.0847,-0.3514,0.2933,0.2129,-0.163,0.3642,0.2497,-0.3157,0.026,-0.3203,0.3133,-0.1284,-0.7651,-0.1595
"Gene694",-0.2907,0.2699,-0.0085,0.2051,-0.2443,-0.4827,-0.039,0.3817,0.6269,-0.0608,-0.2995,0.0632,-0.1234,-0.7555,0.1291,-0.3916,-0.0218,0.2207,0.3176,0.2684,-0.006,0.2036,-0.2797,-0.2584,-0.3413,-0.0471,0.2417,-0.1613,0.3043,0.6283,0.18,-0.1135,0.8706,-0.2382,-0.0583,-0.4238,0.2905,0.4594,-0.126,-0.2356,0.0213,-0.2786,-0.1373,-0.1913,0.2915,0.3728,0.4801,-0.3046,0.1239,-0.3536,0.0217,-0.3289,0.2468,-0.0298,-0.0776,0.1461,-0.4246,0.6341,-0.348,-0.1804
"Gene695",-0.1088,-0.0135,0.3639,-0.0906,0.0436,0.0343,-0.0765,0.0199,-0.2266,-0.0555,-0.5118,0.3245,-0.2724,0.3863,-0.4973,-0.3928,0.1512,-0.2738,-0.2725,0.215,0.1473,0.0075,0.2459,0.4165,0.591,0.3936,0.2143,-0.1335,0.4126,0.7228,0.3103,0.3232,0.0667,-0.1519,0.037,0.4372,-0.0465,0.2563,-0.0522,-0.089,-0.2351,0.2542,-0.2613,-0.2506,-2e-04,0.1996,-0.5101,-0.1303,0.4673,-0.2435,0.0086,-0.351,0.0031,0.0903,-0.1054,0.1204,0.0024,0.432,-0.354,-0.0856
"Gene696",0.3356,-0.3807,-0.2168,-0.1428,0.0339,-0.4149,0.4185,0.4951,-0.1444,-0.2049,0.3496,-0.0313,0.0177,0.1682,0.1118,0.2347,0.1067,0.092,-0.2156,0.0837,-0.1006,-0.2075,-0.0509,-0.0717,0.6275,-0.5973,0.3182,-0.283,0.3166,0.4965,-0.3772,-0.0611,0.0162,-0.2578,0.0068,-0.0267,0.1503,0.153,0.1462,-0.1833,-0.0155,0.2813,0.0309,0.2982,-0.3749,0.1266,0.0578,-0.22,0.2366,0.1219,0.1271,-0.067,-0.3056,0.0111,0.1155,0.202,0.2702,-0.446,0.081,-0.3064
"Gene697",-0.0923,0.0726,0.3119,-0.0799,-0.0526,0.0305,0.0822,-0.1014,0.0709,0.2674,-0.0684,0.0599,-0.1126,-0.0678,0.3701,-0.0662,-0.0817,0.0186,0.1338,0.1892,-0.3466,0.1351,0.2446,0.1217,0.0491,-0.0659,-0.1576,0.0596,-0.064,0.2992,-0.2006,0.1226,-0.1734,-0.1901,-0.1499,0.023,-0.255,-0.2339,0.1453,0.2129,-0.4476,0.1596,-0.3186,0.0862,0.2598,0.1649,-0.1,0.1121,0.0403,0.1691,-0.1185,-0.1051,-0.0487,-0.0978,-0.2784,-0.1192,0.1663,0.1764,-0.3814,0.0402
"Gene698",-0.2997,0.0969,0.3489,-0.3979,0.2838,-0.2633,0.3774,-0.5387,-0.1061,-0.9195,-0.2748,-0.2528,-0.2201,0.578,0.6715,-0.1531,-0.4956,0.1156,-0.5154,0.2296,0.2525,-0.1829,0.4417,-1.1063,-0.2242,-0.1248,0.1506,-0.0058,0.2895,0.8662,0.2433,0.4702,0.6109,-0.3576,0.1876,-0.043,-1.0643,-0.6836,-0.0984,1.1154,-0.3205,0.1205,-0.2596,-0.1468,0.903,-0.5087,0.2932,-0.541,-0.8445,-0.5648,0.0929,-0.3086,-0.5034,0.8526,0.4626,-0.5535,-0.0477,0.0042,-0.2118,-0.6978
"Gene699",1.1666,3.1903,-0.9779,0.7707,-1.4646,-0.1275,-1.1987,0.8367,0.2796,0.4096,0.5056,-0.9604,-0.4748,1.759,1.4185,-2.79,-0.873,1.5457,1.7596,0.2547,-1.5777,-2.5603,-0.4915,0.4125,-0.528,0.3184,-0.2836,1.5768,0.5864,0.9913,0.4731,-0.7417,0.71,-0.6038,-1.2144,-2.058,-0.8729,2.1718,0.2226,-0.0499,1.2005,-0.7174,-1.271,0.7075,-0.6405,-0.8642,1.6381,0.3196,0.0014,0.8052,-0.2757,-0.8972,0.6619,-0.1793,1.1873,-1.6356,-0.2211,0.3942,1.2364,0.0576
"Gene700",0.7575,0.4817,0.3157,0.5261,0.1122,0.4808,0.0683,0.1475,-0.6223,-0.2956,0.1692,-0.4593,0.1889,-0.4822,-0.2882,-0.8763,0.8096,-0.3216,-0.0297,0.3494,-0.171,-0.1062,-0.7642,-0.3197,-0.5048,0.4473,0.5554,-0.7777,-0.0909,0.4037,-0.2098,0.2359,-0.3684,-0.2777,0.1072,-0.3381,0.1864,0.1532,-0.1784,0.2676,-0.1694,0.5844,-0.1773,-0.6898,-0.6212,-0.4374,-0.3853,-0.559,-0.0292,0.4998,-0.4578,0.3586,-0.3067,-0.2569,0.1544,0.3185,-0.1185,0.0876,-0.6016,0.6198
"Gene701",-0.3261,-0.059,-0.5963,0.1737,-1.1284,-0.0909,0.0017,-0.7262,-0.134,-0.066,0.4226,0.0457,-0.2423,0.5991,-0.4601,-0.6336,-0.1758,0.8172,0.6149,0.4403,0.0768,-0.1734,0.6898,0.6228,0.0627,0.2672,-0.3507,0.51,0.03,0.1316,-0.3809,-0.0547,-0.0689,-0.3347,-0.3314,0.3254,-0.1798,-0.4179,-0.2809,0.2068,0.0344,0.2701,-0.1646,-0.1587,-0.5318,0.1882,0.1499,-0.0245,-0.1493,0.6242,0.0668,-0.0633,0.3154,0.3415,-0.0371,-0.605,-0.1511,0.7252,0.3907,0.4339
"Gene702",0.1376,-0.2067,0.1436,0.4653,0.1284,-0.2588,-0.0577,-0.3315,0.4569,0.2105,-0.489,-0.8339,-0.3178,-0.461,-0.5104,-0.693,-0.0939,0.1149,-0.107,-0.382,-0.3138,0.2685,0.3439,-0.645,-0.1676,-0.2411,-0.1231,0.0769,0.5174,-0.3324,-0.3075,0.3437,0.2384,-0.0618,-0.1934,0.5467,-0.1161,-0.1463,0.0116,-0.2326,0.048,0.2816,0.3745,-0.1897,0.0106,0.2258,0.1765,-0.6846,-0.0726,0.0115,0.4293,0.1369,0.2797,-0.1589,0.6151,-0.9538,-0.4068,0.6577,-0.2519,-0.5904
"Gene703",0.3293,0.1259,-0.0116,0.2645,0.1514,-0.1357,-0.0106,-0.1116,0.1158,-0.1294,0.2045,0.0344,-0.0148,-0.1849,-0.1357,-0.0358,-0.1541,0.475,-0.1889,-0.069,0.0237,0.0119,0.1405,0.2389,0.0985,-0.1082,-0.0635,-0.1188,0.2835,0.1385,0.099,0.0593,-0.1342,-0.2372,-0.1436,0.4695,-0.2987,0.2211,-0.0523,-0.0316,0.0084,0.0964,0.3358,0.0298,-0.0182,-0.2837,0.1741,-0.1326,-0.1263,0.1441,-0.1637,0.1055,0.0366,0.3286,0.1465,0.3495,0.0371,0.1876,0.058,-0.003
"Gene704",0.1569,0.3912,-0.0647,-0.0902,0.0326,0.0706,0.4214,0.1026,-0.3091,-0.1624,-0.1995,0.0219,0.324,0.0165,0.3184,0.1849,-0.0948,-0.1764,0.0613,-0.0916,-0.0549,-0.1987,-0.2775,-0.0756,0.1543,-0.2646,0.0183,0.0651,-0.0924,0.0096,0.2408,0.0554,-0.0532,0.033,-0.1178,0.0403,-0.2965,0.0045,-0.0081,0.0754,-0.4256,0.1157,0.172,0.3178,0.0577,0.2736,-0.0397,0.0656,0.0246,-0.1591,0.1843,-0.1222,0.0841,0.1734,0.1933,0.0833,-0.0609,-0.2266,-0.0479,0.2389
"Gene705",0.2184,-0.084,-0.1316,-0.3991,-0.1874,-0.3422,-0.4138,-0.1515,0.3657,0.2051,0.0706,0.1388,-0.3865,-0.3551,0.2387,0.263,-0.2808,0.1762,-0.1292,-0.0886,-0.2718,-0.1437,0.0805,-0.0612,-0.2448,-0.6703,-0.0705,-0.4032,0.3876,-0.6016,0.0346,-0.413,0.1222,-0.4511,-0.5862,0.0837,-0.0399,-0.1446,-0.2748,-0.0755,-0.0775,0.0059,-0.1884,0.3072,0.096,-0.1802,-0.0495,-0.4107,-0.0585,0.0554,0.4074,0.0809,0.2173,-0.1628,0.1782,-0.0151,0.0969,-0.364,-0.1561,-0.3868
"Gene706",-0.4498,-0.0753,0.1304,0.2244,0.2957,-0.1069,0.3505,0.6113,-0.6855,-0.547,-0.1372,0.2924,-0.3171,0.4555,0.0548,0.3386,-0.0809,-0.0011,-0.1989,0.3711,-0.2894,-0.1109,0.2119,0.2376,-0.1415,0.3547,0.1152,0.6413,0.5925,0.3359,0.0553,0.4713,0.1392,-0.3133,-0.1576,0.3013,0.2521,0.4257,-0.1737,0.2613,-0.048,0.2236,-0.0094,-0.4757,-0.1152,0.3141,0.3001,0.0059,0.0514,0.0405,-0.1506,0.1919,-0.6727,0.1488,0.3163,-0.6142,0.3144,-0.2599,0.0997,-0.1506
"Gene707",-0.1918,0.1381,0.0775,0.385,-0.0723,0.2152,-0.1269,-0.1321,0.1544,0.4666,-0.3043,-0.2288,-0.3717,-0.1968,-0.2655,0.0673,-0.0325,-0.2164,-0.1089,-0.372,-0.2648,-0.2023,-0.0514,0.3524,-0.0979,-0.0315,0.3037,0.126,-0.4981,0.0698,-0.4422,-0.2197,0.046,-0.4031,0.0706,-0.1604,0.3456,-0.3701,0.3575,0.0393,0.2138,0.089,0.0234,-0.1325,0.3557,-0.1306,-0.0089,0.0343,-0.4838,-0.2286,-0.0994,-0.0343,-0.0277,-0.3657,0.1218,-0.225,0.1715,0.0514,-0.4572,-0.0522
"Gene708",-4e-04,0.1406,0.4426,0.5137,0.0042,0.2088,0.4816,0.0281,0.1331,0.1372,0.0634,0.4431,-0.043,0.0768,-0.0488,0.1303,0.0948,0.1075,0.0338,0.0522,0.1791,0.0473,-0.1288,0.1166,-0.2124,-0.0517,0.0879,0.0577,0.1789,0.0419,-0.2079,-0.0565,0.2018,-0.2461,0.2913,0.196,0.0498,0.0655,0.0982,-0.0062,-0.1114,0.3344,0.1457,0.1738,0.416,0.352,0.3601,-0.3437,0.107,0.0065,-0.0999,-0.0707,0.0091,0.0104,-0.4382,0.2074,-0.0097,0.3297,-0.2814,-0.173
"Gene709",0.8127,-0.4556,-0.0031,-0.9195,-0.2305,0.286,-0.0579,-0.242,0.0149,0.2337,0.4153,0.2164,-1.3335,0.3481,-0.4854,0.594,0.7176,-0.525,-0.1229,0.0594,-0.6895,0.8382,0.522,0.5102,0.7439,0.498,0.069,0.7263,0.8697,0.7487,-0.0979,0.2168,0.8677,-0.3042,-0.1877,-0.6735,-0.7878,-0.1815,-0.425,0.3349,0.2349,0.6805,0.4279,-0.261,-0.3447,0.4908,0.0195,1.1051,0.0217,0.6476,0.0767,0.3162,0.5646,0.2984,-0.4609,-0.6569,0.2627,-0.4022,-0.3221,0.3696
"Gene710",0.2918,-0.0213,-0.2067,0.2002,-0.1666,0.2863,0.388,-0.4627,0.0981,-0.0023,0.4596,-0.3978,0.4655,-0.474,0.3468,-0.4633,-0.1674,-0.0278,0.0657,0.3005,0.5476,-0.5959,-0.8859,-0.85,-0.4591,0.1854,0.3206,-0.5006,0.0415,-0.3038,-0.3102,-0.0996,-0.1204,-0.5316,0.3776,-0.4932,-0.2259,-0.2901,-0.0546,0.115,-0.7412,0.2963,-0.2169,-0.1357,-0.0019,0.0732,-0.2257,-0.5068,-0.4005,-0.3685,-0.2144,0.6189,-0.3175,-0.4688,0.3692,-0.2801,0.395,-0.1563,-0.7662,0.2302
"Gene711",-0.2855,0.273,0.4077,-0.7498,0.3622,-0.067,-0.5034,0.0269,0.2472,-0.0695,-0.1091,0.3515,-0.4842,-0.1616,-0.2048,0.404,0.2825,-0.0748,-0.3738,-0.1236,-0.1078,0.2283,0.188,0.001,0.1041,0.2116,-0.3489,0.0187,-0.285,0.2362,0.515,-0.1643,0.1034,0.4059,-0.2486,0.3789,-0.2208,0.2078,0.0651,0.0634,1.0021,-0.5058,0.0371,0.1432,0.2813,0.0032,0.9597,0.3372,0.0935,0.0172,0.0814,0.0732,0.3082,0.3497,-0.4035,0.5127,0.0166,0.4042,0.3532,-0.3227
"Gene712",0.3161,0.1147,0.6484,-0.1025,-0.0756,-0.508,-0.6654,0.2434,-0.027,-0.6666,0.2619,-0.198,0.1894,-0.319,-0.5496,-0.0019,-0.0873,0.4922,0.2795,0.4426,0.2632,0.7496,0.1884,-0.2682,0.0292,0.0225,0.0645,-0.0726,0.0634,-0.8819,-0.0949,-0.3139,-0.6252,0.3476,-0.1094,-0.63,-0.7356,-0.2149,0.1614,0.1092,0.2028,-0.0274,-0.1095,-0.2124,-0.1864,-0.2577,-0.8767,-0.2511,-0.4289,-0.4987,0.5041,-0.2014,0.1444,-0.0199,-0.1287,-0.2664,-0.2529,-0.5745,0.1864,-0.1922
"Gene713",0.5398,-0.0777,-0.2638,-0.6843,0.8423,-0.5069,-0.8062,0.0819,0.4102,0.2043,0.0243,0.4307,0.5686,0.4476,-0.5227,0.015,0.5773,-0.5482,0.3226,0.6126,-0.7694,-0.4628,0.7448,0.1126,0.4709,0.7896,0.0549,-0.2308,0.7108,-0.6836,0.6097,0.977,0.4919,0.2337,0.506,-0.5626,-0.6101,-0.7262,0.3701,0.7398,-0.9294,-0.1713,-0.1799,-0.4642,0.457,-0.0036,-0.2418,-0.1582,-0.0927,0.3263,0.1109,1.0249,-0.4013,-0.8419,0.5677,0.0693,-0.0249,-0.0546,-0.2957,0.5368
"Gene714",0.7686,0.0618,0.2798,-0.4122,-0.3106,-0.2036,0.3977,0.1072,-0.1714,0.2369,0.364,0.4742,0.1816,-0.0259,0.254,0.3689,0.0347,-0.0768,-0.1991,-0.7047,-0.0239,-0.9527,0.1174,-0.2868,0.5339,0.3533,-0.0885,0.0536,0.1314,0.0152,0.2294,0.0048,-0.1674,0.1681,0.2098,-0.1021,0.3134,0.3726,0.2512,0.0833,0.1205,0.6352,-0.1301,0.2508,0.1398,0.126,-0.1851,-0.2876,-0.0109,0.2899,0.0075,0.4835,0.1389,-0.0807,-0.2046,0.6372,0.1754,0.4844,-0.4415,-0.0842
"Gene715",-0.3275,0.0777,-0.255,-0.5793,-0.1591,-0.0765,-0.3856,0.2903,0.403,-0.1431,0.3312,0.4422,-0.4947,0.3008,-0.1974,0.2425,0.3934,0.1389,-0.0997,0.0591,0.4397,0.1036,0.2559,0.6059,0.2003,-0.1736,-0.3389,0.1045,-0.2403,-0.26,0.3394,0.3462,0.5944,0.3319,-0.9978,0.2261,-0.4764,-0.4928,0.1226,-0.2261,-0.1425,-0.5548,-0.0504,0.2714,0.2843,-0.5454,0.167,0.2783,0.7599,-0.0272,0.2187,0.0478,0.1672,0.3876,-0.6567,0.033,-0.1565,-0.0189,0.0841,0.1184
"Gene716",0.4449,0.2178,0.1102,0.6418,-0.2041,-0.193,0.0658,-0.1602,0.1312,-0.0997,-0.2074,-0.3406,0.0691,-0.4542,-0.043,0.0313,0.2618,0.1382,-0.3504,0.0766,-0.3159,0.3396,-0.1735,-0.1238,-0.0524,-0.0626,-0.1106,-0.1359,-0.3617,-0.1077,-0.2854,0.2327,-0.0817,0.1161,0.0201,-0.3113,-0.2841,-0.4833,0.1913,0.0905,-0.0727,-0.151,-0.1464,-0.3886,0.014,-0.0193,0.2671,0.279,0.0163,0.1003,0.0143,-0.1188,0.3107,-0.4048,-0.1241,-0.3109,0.0332,-0.0028,-0.1257,-0.4957
"Gene717",0.2096,0.1468,0.137,0.4787,-0.4707,0.1437,-0.9351,0.7951,0.13,0.0687,-0.2542,0.0581,0.0921,0.0106,-0.5586,-0.1439,0.0182,0.5509,0.3878,0.5362,0.0401,0.2607,0.477,0.3278,0.2948,-0.0583,0.3595,0.201,0.375,0.0758,0.0346,0.1858,-0.0155,0.2219,0.7412,-0.3782,-0.4372,1.0133,0.0569,-0.9185,-0.3969,0.7119,0.6471,-0.1879,-0.1931,-0.5141,-0.4683,-0.7059,-0.6784,0.0492,0.1885,-0.5107,-0.8472,0.6072,0.2515,-0.2433,-0.2357,0.701,-0.1786,0.4041
