"","Donor1","Donor2","Donor3","Donor4","Donor5","Donor6","Donor7","Donor8","Donor9","Donor10","Donor11","Donor12","Donor13","Donor14","Donor15","Donor16","Donor17","Donor18","Donor19","Donor20","Donor21","Donor22","Donor23","Donor24","Donor25","Donor26","Donor27","Donor28","Donor29","Donor30","Donor31","Donor32","Donor33","Donor34","Donor35","Donor36","Donor37","Donor38","Donor39","Donor40","Donor41","Donor42","Donor43","Donor44","Donor45","Donor46","Donor47","Donor48","Donor49","Donor50","Donor51","Donor52","Donor53","Donor54","Donor55","Donor56","Donor57","Donor58","Donor59","Donor60","Donor61","Donor62","Donor63","Donor64","Donor65","Donor66","Donor67","Donor68","Donor69","Donor70","Donor71","Donor72","Donor73","Donor74","Donor75","Donor76","Donor77","Donor78","Donor79","Donor80","Donor81","Donor82","Donor83","Donor84","Donor85","Donor86","Donor87","Donor88","Donor89","Donor90","Donor91","Donor92","Donor93","Donor94","Donor95","Donor96","Donor97","Donor98","Donor99","Donor100","Donor101","Donor102","Donor103","Donor104","Donor105","Donor106","Donor107","Donor108","Donor109","Donor110","Donor111","Donor112","Donor113","Donor114","Donor115","Donor116","Donor117","Donor118","Donor119","Donor120","Donor121","Donor122","Donor123","Donor124","Donor125","Donor126","Donor127","Donor128","Donor129","Donor130","Donor131","Donor132","Donor133","Donor134","Donor135","Donor136","Donor137","Donor138","Donor139","Donor140","Donor141","Donor142","Donor143","Donor144","Donor145","Donor146","Donor147","Donor148","Donor149","Donor150","Donor151","Donor152","Donor153","Donor154","Donor155","Donor156","Donor157","Donor158","Donor159","Donor160","Donor161","Donor162","Donor163","Donor164","Donor165","Donor166","Donor167","Donor168","Donor169","Donor170","Donor171","Donor172","Donor173","Donor174","Donor175","Donor176","Donor177","Donor178","Donor179","Donor180","Donor181","Donor182","Donor183","Donor184","Donor185","Donor186","Donor187"
"ENSG00000118432.12_CNR1",0.044,-0.8893,-0.1204,-0.8497,0.3274,-0.6718,-0.4475,-0.9716,0.1467,1.3361,-1.0326,0.8821,0.4004,1.4502,0.2355,1.2842,-0.4874,-0.781,1.4736,-0.4332,0.9703,-0.4147,-0.4775,1.2424,-0.6677,0.3415,0.3627,-0.9112,0.7238,0.4145,-0.7985,0.2306,1.3303,1.1799,-0.3379,0.3902,0.2489,-0.2335,-0.2647,-0.4888,-0.4184,0.1746,-0.5216,-0.6092,-1.3364,0.8147,0.6432,0.9208,-0.0621,-0.1413,-0.5368,0.7011,1.945,-0.0188,0.6001,-0.0768,1.2326,0.506,0.6639,0.7229,0.1452,0.186,-0.0607,0.839,-0.6405,0.4052,-0.3098,-1.7628,-0.9002,1.0566,-1.0269,-0.5858,0.7627,1.3091,-0.0846,-1.7352,0.3877,0.4579,0.8278,-1.8593,0.8413,0.1523,1.5519,-0.7185,2.0724,-0.2434,-2.2792,-0.4573,-0.2367,-0.9017,1.066,0.2682,-1.3632,0.9042,1.0007,0.1136,0.7178,0.886,-1.2413,0.4358,0.1367,-0.3821,-0.1309,0.7708,-0.6083,-0.5984,-1.5711,0.6438,-0.3011,1.366,-0.6575,0.2979,0.799,-1.4276,-0.0912,-1.0011,-0.6177,0.282,-1.0231,-1.1769,0.1505,-2.0024,1.0889,0.5603,-2.4819,1.0162,0.5162,1.7409,1.6194,-0.6679,-0.4617,-2.7852,-0.5596,1.0593,0.334,-0.2505,-1.4924,-2.8692,1.2837,-0.2962,0.0046,0.2478,-0.0787,1.4141,0.597,-0.0102,-2.4985,-1.4054,0.2402,-0.4231,1.1397,0.564,0.5915,0.0465,-0.3329,0.1713,0.1699,0.5985,-2.6226,-0.8975,0.4782,-0.4527,-1.1953,-0.1353,-0.618,0.4741,0.6873,-0.0334,0.4247,1.4486,0.3353,0.2816,-0.5914,-1.097,0.1327,1.1715,0.3788,-0.3184,0.8018,0.3133,-1.2708,0.6151,0.0979,-0.3635,0.0415,0.7943,0.9512
"ENSG00000135596.17_MICAL1",0.1164,0.048,-0.0786,0.336,0.1083,0.4822,-0.5525,-1.0722,-0.5082,0.8434,0.535,-0.338,-1.4478,-0.9967,-0.4367,0.1106,-0.1893,0.5856,-0.2872,0.0439,0.4145,0.3582,0.0838,-0.258,0.1175,-0.2872,0.1197,0.0719,0.56,-0.8704,-0.1359,-0.0099,0.6821,-0.76,-0.2693,0.2663,0.4437,-0.1331,0.1661,0.0186,0.0292,-0.4745,-0.4855,-0.3163,-0.0856,-0.5966,0.6371,0.2652,0.0344,1.3536,-0.3129,0.2774,-0.8192,-0.2848,-0.4635,-0.4277,0.2669,0.5371,-0.7267,0.3065,-0.2591,0.1334,-0.079,-0.2723,0.3878,0.3685,-0.5585,0.2408,0.0821,1.1487,0.2024,0.3091,-0.3846,0.866,-0.4138,-0.3858,-0.4946,-0.8686,-0.0655,0.019,-1.1906,0.6383,0.7704,0.0297,-0.561,1.2551,-0.1151,0.3104,-0.0799,-0.1813,-0.2801,0.2588,0.6798,-0.7226,0.4051,-0.456,0.5335,-0.0137,0.2692,-0.2736,0.23,-0.2291,0.5198,-0.4654,1.1393,0.6184,0.7392,-0.4589,0.2658,0.3966,0.8482,0.2448,-0.1787,0.1436,-0.0935,0.0369,0.1618,0.3251,0.6826,0.7278,-0.5871,0.1513,-0.2978,-0.5459,0.2958,0.0636,0.5309,0.323,0.4748,0.1363,0.2044,-0.0076,0.263,1.1024,0.033,-0.2573,0.1068,-0.1561,0.3104,1.1059,0.033,-0.1111,-0.2141,-0.3903,-0.0017,0.3054,-0.7928,0.0996,-0.0879,-0.2992,0.072,-0.1572,0.1029,0.0792,0.0499,0.5638,-0.3588,-0.348,-0.1277,0.1017,-0.2836,0.5863,0.0249,-0.3795,0.1294,-0.3834,0.3292,-0.567,-0.3411,0.1217,0.2856,-0.0045,-0.3263,-0.2001,0.0497,0.1423,-0.4796,-0.4879,-0.4191,-1.1426,0.007,-0.6542,-0.5869,-0.3769,-0.5006,-0.1623,0.3494
"ENSG00000112394.16_SLC16A10",-0.2553,0.5928,0.0502,0.0954,0.0245,-1.1443,-0.3766,0.2696,0.1255,0.4247,-0.4384,-0.5822,-0.6197,-0.2709,-0.0455,-1.5728,1.0188,-0.7409,-0.0087,1.423,0.5261,-0.6106,1.1021,0.4683,-0.4571,0.7545,-0.4163,0.0317,0.714,0.2584,-0.223,-0.0144,-0.0893,-0.1812,-0.2136,0.1068,0.0765,-0.0642,-0.9028,-1.1542,0.3262,-0.1079,0.7445,0.1629,-1.2838,0.5914,-0.1733,0.0969,-0.2539,-1.3661,0.2557,-0.4366,0.1128,0.0063,0.3112,0.9303,0.7806,0.6294,0.2554,-0.517,0.0958,0.2439,0.0553,0.3787,0.6857,0.7739,-0.2047,-0.1829,-0.6614,-1.1052,-0.9135,0.6623,0.6332,-0.7042,0.4331,-0.3369,0.959,0.3794,0.1582,-0.0656,-0.2274,-0.3155,-0.6706,-0.1303,-0.1632,-0.6194,-0.0979,-0.6257,-0.2803,1.0264,-0.5567,-0.1479,-0.8796,0.4939,0.3307,0.8359,0.3485,0.8425,0.5901,1.5491,-0.1485,-0.4588,0.4173,0.7224,0.6478,0.3922,-0.3278,0.6416,-0.0784,0.5058,-0.8999,-0.5168,-0.0783,-0.2866,0.8094,0.8005,-0.3318,0.5882,-0.53,-1.3668,-0.2968,-0.5347,0.0433,-0.471,-0.4473,0.3507,-0.6164,-0.7829,-0.3561,-0.6228,0.2457,0.1657,-0.2336,-1.3216,0.3388,0.6593,-1.1132,0.9979,-0.918,-0.8381,0.8267,-0.6739,0.4617,0.3585,0.148,0.0484,0.6643,1.3117,-0.7949,-0.0959,-0.4601,-0.1191,0.1882,-0.9274,0.137,-0.9129,-0.5002,1.5986,-0.3347,-0.2875,0.7534,-0.266,-0.2562,-0.2789,-0.5722,0.2036,0.2187,-0.1277,0.0564,0.0827,-0.2748,0.5437,-0.0944,0.4156,0.9212,0.395,0.361,0.1933,0.7635,-0.4595,-0.2737,0.2784,-0.2877,0.0573,0.5309,0.3382,0.0579
"ENSG00000112769.18_LAMA4",0.127,-0.5947,0.0997,-0.1005,0.8195,1.4661,0.1297,-0.1819,-0.0536,0.3363,0.2816,0.1201,-0.1337,-0.5482,-0.0283,1.2558,-0.1382,0.2975,0.4076,-1.6421,-0.4505,0.2493,-0.5922,0.0065,0.041,0.3162,-0.1427,-0.0801,0.2476,-0.5689,-0.4238,0.3246,0.2625,0.1595,-0.1057,-0.3396,-0.1824,-0.4669,0.9174,0.1225,0.0182,-0.1831,-0.6298,-0.6952,-0.7018,-1.1446,0.1735,0.5539,0.2377,1.1361,-1.0568,0.2254,0.3009,0.0389,-0.7862,-0.0205,-0.0841,-0.1542,0.5729,0.1095,0.5353,-9e-04,-0.6333,-0.1179,0.781,0.3431,-0.2737,-0.6038,0.0453,0.3547,0.4379,-0.7647,0.3148,2.0233,-0.4605,-0.0188,-0.2834,0.133,0.6474,0.5312,-0.1337,-0.1137,0.4396,-0.3326,0.2281,1.4143,-0.8345,0.128,-0.2435,0.2177,0.6552,-0.4021,0.4007,0.6651,0.2857,-0.3896,-0.0664,0.4735,-0.1132,0.4551,-0.044,-0.5605,-0.3205,-0.0322,1.0195,-0.5334,1.8973,0.4016,0.5326,0.7802,0.7485,-0.1038,0.0202,-0.4203,-0.9345,-0.2683,-0.8018,-0.1066,-0.705,-0.4603,-0.0491,0.5757,-0.9529,-0.3419,0.0885,0.1348,-0.2171,0.6833,0.3585,-0.2205,-0.3896,0.7298,-0.0441,0.7079,0.647,-0.1435,-1.5093,-0.8814,-0.2431,0.2842,0.5916,-0.0544,0.2244,0.2088,0.178,0.2782,-0.787,-0.2689,0.0151,-0.0589,-0.2823,-0.0748,-0.5125,-0.1462,0.0983,0.1359,0.182,-0.5896,-0.3939,0.3055,0.567,-0.5507,-0.4783,0.6038,-0.0297,0.3935,0.3329,-0.315,0.3483,0.3296,-0.3064,-0.7327,-0.3128,0.0604,-0.1327,-0.7185,0.2691,-0.4585,-0.1067,-0.1657,-0.3434,-0.633,-0.4422,-0.0818,0.2032,-0.5381,0.0148
"ENSG00000277443.2_MARCKS",0.1251,-0.8575,0.2308,-0.3858,1.0052,0.6136,0.4723,-0.7075,-0.2052,0.451,0.3385,-0.3641,-0.2288,-0.7601,-0.294,0.9842,-0.8274,0.5102,-0.1025,-0.1523,0.2196,0.3523,-0.3646,-0.4969,0.4449,0.4908,-0.9572,0.5367,0.4418,-0.2919,0.4583,-0.0063,0.1756,-0.3145,-0.4862,0.91,-0.2316,-1.7447,0.1197,-0.8548,0.3344,-0.7398,-0.6943,-0.2553,-0.0033,-0.0672,0.8777,-0.2576,-0.0196,1.7949,0.1962,0.6119,0.0565,-0.6254,-1.2998,-0.4169,-0.0571,0.1409,-0.122,0.244,0.0581,0.3472,-0.0853,0.0987,0.5272,0.2101,-0.1321,0.3194,0.1957,1.3289,-0.3082,-0.3019,-0.624,1.1482,-0.3908,-0.9522,0.1863,-1.0652,0.0938,0.5413,-0.2088,-0.0171,-0.1933,0.692,-0.3102,1.132,-0.4255,0.3442,-0.1092,-0.6202,-0.0479,0.0305,0.1522,0.5422,-0.5586,-0.2844,-0.2527,0.6361,0.0296,0.3655,0.0069,-0.9915,0.0598,-0.5566,0.837,0.3255,0.2503,0.4709,-0.2215,0.5544,0.7749,-0.4899,-0.1783,-6e-04,-0.5205,-0.2866,-0.4143,0.1396,-0.4988,0.02,-0.7605,0.8605,-0.2705,-0.4317,0.403,-0.4508,0.1432,-0.3727,-0.0323,-0.9801,-0.0977,-0.555,0.1097,0.8384,0.2756,-0.5434,-0.1796,-0.8856,0.2952,0.6809,0.1573,-0.3037,0.2775,0.0737,0.3871,-0.9,0.0223,-0.2176,0.2205,0.1771,0.3269,-0.3792,-0.4054,0.0596,-0.3391,-0.393,0.0807,0.0941,0.0665,-0.1485,0.2771,-0.2604,-0.7853,-0.8145,0.7336,0.4619,0.4135,0.1836,0.6236,0.259,0.2032,-0.083,-0.1972,0.5673,1.4886,-0.3585,0.0306,0.0424,-0.2347,0.8368,-0.0441,0.2756,0.0637,-0.3089,0.8311,-0.5656,0.1397
"ENSG00000152661.7_GJA1",-0.3007,0.2666,0.1542,0.199,0.3518,-1.8069,-0.1055,0.4112,0.354,0.2009,-0.436,-0.2939,0.5364,0.5147,0.6833,-1.2108,0.5054,-0.3482,0.5454,-0.0084,0.252,-0.3258,-0.0296,0.251,-1.1011,0.6725,-0.433,-0.1211,-0.5093,0.4176,-0.2765,0.4225,-0.0154,0.4086,0.0626,-0.1275,-0.1723,-0.036,-1.1583,-0.1611,0.1464,-0.284,0.2009,0.4694,-1.6373,0.7508,-0.5088,0.2418,-0.1114,-1.4696,-0.0337,0.2017,0.8226,0.1606,0.434,0.3272,0.8419,0.4134,0.2682,-0.1617,0.5128,-0.3734,-0.0337,0.6033,-1.1274,-0.6759,0.1924,0.3668,-1.1906,-0.461,-0.7891,0.349,0.4051,-0.4061,0.7554,-0.2193,0.4922,0.927,0.5376,-0.3285,0.6978,-0.4733,-0.6368,0.1716,0.5583,-0.6807,-1.4438,-0.6871,0.0889,0.0193,0.4695,-0.0491,-0.5715,0.6425,0.2947,0.9964,-0.9462,0.6242,0.7364,0.3857,-0.0588,-0.5488,-0.4015,0.0292,0.0071,-0.1559,-1.9496,0.711,-0.5146,0.856,-1.4712,-0.4022,0.4214,0.0683,0.6499,0.4633,0.2962,0.649,-0.4752,-0.558,-0.1226,-0.1633,0.4866,-0.1746,-0.4675,0.1456,0.1306,0.5425,-0.0713,-0.3139,0.3741,-0.2093,-0.6919,-0.5413,0.3651,0.6231,-1.0248,0.0158,-0.4146,-0.8445,-0.2629,-0.0538,0.7037,0.1443,0.6273,-0.2782,0.7989,0.3897,0.1833,0.5378,-0.0057,-0.7511,0.1183,-0.5015,-0.1675,0.2598,0.1896,0.1793,-0.1501,0.2608,0.1337,0.6102,-0.364,0.2194,-0.308,-0.1143,0.2694,0.227,0.3058,-0.1535,-0.2109,0.5847,0.0097,0.0474,-0.7119,-0.4259,0.1944,0.1572,0.5877,0.283,0.3366,0.6171,0.6318,0.4891,0.0287,0.0885,-0.053
"ENSG00000111907.20_TPD52L1",-0.2815,0.3141,0.4135,0.3071,-0.0808,0.3093,0.0951,-0.224,0.0437,0.8565,-0.9259,0.2337,-0.315,-0.0283,-0.4284,-1.8209,0.7345,0.3256,-0.1245,0.2956,0.1271,-0.0481,0.4928,0.1789,-0.3131,0.5374,0.0806,-0.2542,1.1163,0.6257,0.1657,-0.0979,-0.692,-0.7478,0.3608,-0.7884,0.1664,-0.0172,0.4948,-0.1062,0.1215,0.221,0.2855,0.1427,-0.1969,0.2581,-0.3627,0.4289,-0.5371,-1.6457,0.2052,0.1072,0.074,-0.0306,-0.2404,0.4378,0.88,0.2285,0.0363,-0.037,-0.032,-0.8175,0.1019,0.137,-0.7395,-0.2374,-0.1315,-0.1287,-0.0884,-1.5774,0.1051,-0.0809,0.5936,-0.1815,0.8052,-2.1946,0.2113,-0.096,0.4442,-0.0855,0.1223,-0.4187,0.0768,-0.3964,0.161,-0.7158,-0.4882,-1.0977,-0.418,0.6534,-0.066,0.0892,0.0945,0.3469,-0.6077,0.9125,0.8491,-0.0416,-0.0484,1.2406,-0.7595,0.7826,0.4631,0.5651,0.1052,0.8414,-0.0328,-0.1264,0.5537,-0.312,-2.4426,-0.3327,0.0688,-0.4661,1.072,0.226,-0.4071,0.177,-0.7837,-0.652,0.6162,-0.5379,0.5775,-0.2525,-0.2939,0.1502,-0.2695,-0.2861,-0.4084,-0.0992,0.2941,-1.1509,-0.5799,-0.8328,-0.0899,0.5055,-0.9996,-0.97,-0.8397,-0.0664,0.4317,0.0849,0.0069,0.5686,0.2714,0.2523,0.7014,0.1648,-0.1108,-0.639,-0.2298,0.3233,0.1313,0.4563,-0.461,-0.1868,-0.2299,0.122,-0.498,-0.3357,0.92,-0.5568,0.0218,0.9858,-0.8567,-0.3353,0.0114,-0.0986,0.211,0.9843,-0.4308,1.2546,0.2149,-0.7009,0.4691,0.4376,0.8127,0.7962,0.9875,1.0562,-0.7009,0.9208,0.4013,0.7472,0.4387,0.392,0.1734
"ENSG00000146374.13_RSPO3",0.9018,-0.9595,-2.1666,0.3849,-1.3521,1.4904,-0.629,0.3307,1.0117,-0.1633,1.9975,1.7175,-0.6431,-0.2828,0.1155,0.2707,-0.7499,1.8434,-1.0992,-2.2271,0.6505,1.3342,0.6801,0.0021,-0.543,0.9673,-0.1034,1.4741,0.9284,0.1011,0.5871,-0.6732,0.0481,0.2218,1.3944,-0.1323,0.045,-1.1946,2.1101,0.5274,-2.0835,0.5572,-1.0997,-0.0601,0.081,-3.3523,-0.7812,0.4504,1.1832,-1.5772,-2.9709,-0.5022,-1.6589,0.912,0.3602,0.9404,0.2615,0.6962,0.681,0.0029,-1.1285,-1.7592,-1.2962,0.2553,1.7447,2.3344,0.2717,0.5252,-0.3857,-2.3364,0.8541,0.7947,1.0387,3.1549,-0.3885,1.3098,-1.4206,-1.9512,2.0825,1.0163,-1.6008,0.4966,1.6434,0.481,1.4119,-2.2234,-2.5689,-1.1203,-2.9285,0.4299,0.0548,-0.3313,-0.5836,0.6856,0.6206,-2.8094,1.2742,-1.1527,0.4385,1.283,-0.5882,1.1996,1.6739,-0.0146,0.3818,-0.1644,1.5274,0.5972,0.2454,-1.3912,2.1286,-0.5366,0.5381,0.537,-0.9304,0.9567,-0.3508,0.3719,-2.1521,0.3012,0.8657,0.004,-1.3267,0.4243,0.8566,0.7185,-0.4859,1.2601,0.1451,0.0828,0.0879,-0.5834,0.4618,-1.6452,0.815,-1.3006,-2.0012,-1.9069,0.3616,1.3464,0.4727,0.1328,0.4657,0.7009,-0.9597,1.1059,-0.8017,0.2965,-0.3996,0.1368,1.4601,0.3934,0.4291,-0.2653,0.9813,0.9366,0.0322,-0.595,-0.4396,-0.7726,-0.7059,-0.8359,-0.3942,0.6437,-0.1049,-0.2204,-1.0044,0.0597,-0.6882,-0.6025,-0.6314,-0.496,-0.0268,0.8264,0.0952,-0.6925,0.0347,-0.5277,0.5085,1.1975,0.3109,-1.7179,-1.3274,1.5823,-1.1815,1.0527,0.5515
"ENSG00000196569.11_LAMA2",0.0402,-0.5758,-0.0914,0.485,0.7446,-0.4158,-0.3688,0.8742,0.4413,-0.1553,-0.2331,1.2955,-0.3953,-0.1702,0.1783,0.2495,0.1214,0.3137,0.476,-0.7932,0.0942,-0.4506,-0.1641,0.8656,-0.9102,-0.016,-0.1502,-0.3197,0.7175,0.248,0.1432,0.5098,-0.1816,0.4451,0.5227,-0.1133,0.3999,-0.8992,1.1102,-0.0847,0.0446,0.3467,-0.4658,-0.7037,-1.8753,-0.4772,0.1303,0.6128,0.741,0.9405,-1.3119,0.5134,0.0774,1.0051,-0.4922,-0.2978,-0.0194,0.1334,1.184,0.5355,-0.2346,0.1449,-1.565,0.8604,0.2223,0.8588,-0.7402,0.1035,-0.4236,-0.3154,0.3706,0.1055,1.1826,0.5539,0.5776,0.4855,1.5625,-0.442,0.9964,-0.5616,0.5278,0.2043,0.8298,0.0394,0.3244,0.7987,-2.3345,-1.4511,-0.4572,0.5842,0.4838,-0.4125,-0.3727,0.886,1.0185,-0.0081,-0.2218,0.4745,0.8716,0.8405,0.0317,-0.7997,-0.6124,-0.2191,0.0435,-0.3055,-0.5374,0.1713,0.1323,0.5656,0.3823,-0.2199,0.5892,-0.4026,-0.9491,-0.5421,-0.7114,0.3099,-1.2263,-0.5378,0.4398,-0.7866,-0.865,-0.0227,-0.1601,0.1226,-0.4826,0.6262,-0.8898,0.0361,0.0992,-0.3111,-0.0573,-0.2026,0.6728,-0.3167,-1.3253,-1.8036,-0.1586,-0.6768,0.3324,0.6508,1.0866,0.3591,-0.0074,0.4792,-0.6335,-0.0572,-0.5353,-0.2713,0.3633,0.6073,-0.2961,0.1331,0.0872,-0.4129,-0.2245,-0.2289,-0.377,-0.9467,0.7348,-0.2928,-1.0421,0.1574,-0.4285,0.3249,-0.1409,0.0582,0.5125,-0.6139,-0.3945,-0.5907,-1.1104,-0.2036,0.6428,-0.0831,0.5588,0.1973,0.2738,0.9693,-0.7078,0.2735,0.237,1.0368,-0.3794,0.0765,-0.0505
"ENSG00000164484.11_TMEM200A",0.4882,-0.2796,-0.913,-0.3447,-1.0495,-1.3728,-0.2643,1.6071,-0.2349,-0.6209,1.5905,-0.2828,1.6346,0.9685,0.5622,-1.0251,-1.1506,-1.1798,0.0461,0.5815,0.6477,-0.1031,-0.8135,0.7409,-0.4502,-0.045,0.8565,0.8121,0.0386,0.5603,1.2218,1.1354,0.3394,0.7756,0.5746,-0.4871,0.1262,0.3627,-0.7511,-0.1865,-1.4499,0.0535,-0.0881,0.2942,-1.6348,-0.0108,-0.9405,-0.9148,0.9879,-0.9375,-0.4287,-0.2146,-0.0612,0.1779,1.1832,-0.0207,0.2555,0.9882,-0.4443,-0.1734,0.8427,0.1522,0.3067,-0.9508,-0.5755,0.6417,0.0089,0.7259,-1.5476,-0.2821,-0.5185,0.453,-0.9325,-1.8112,0.3689,-0.9976,0.9761,1.5736,0.114,-0.3414,0.8601,0.244,-0.5744,-0.2448,0.2767,-1.1653,-2.2476,-0.0948,-0.3407,0.9092,2.806,-0.2671,-2.0187,-0.1273,1.1895,-0.4079,-0.559,-0.2402,1.3354,-0.727,0.3178,0.4009,-0.767,0.1466,-0.0067,0.2287,-2.9764,0.3422,-0.663,1.9744,-2.321,0.1553,0.5351,-0.0976,-0.143,0.2165,0.2742,0.6198,0.2872,-0.0331,0.2669,-0.2907,0.864,1.3042,0.2637,-0.1848,1.2688,-0.4316,0.0445,-0.3461,0.3207,-0.5792,-0.4523,-1.4786,0.4115,-0.2507,1.0376,-0.1641,-0.3492,-0.9077,0.1882,0.3842,1.6687,0.4378,-0.08,-0.9076,0.8421,0.3436,-0.2793,1.5991,0.3755,0.3943,-2.1908,0.5429,0.4436,0.2843,1.1953,0.612,0.3263,-0.1152,0.1797,1.0714,0.8988,0.4754,0.0773,0.9565,-2.0906,0.67,-1.0218,-2.0407,-0.1209,-1.9324,0.7192,0.9249,-0.2194,-0.4527,-0.6731,0.5995,0.2895,-0.4601,1.7155,-0.6313,-0.7787,-0.1213,-0.3911,-0.4167,0.3203
"ENSG00000118507.15_AKAP7",0.4705,-0.3823,-0.5523,-0.1832,-0.2137,-0.1491,0.0281,0.5375,-0.3614,-0.4747,0.0379,0.092,0.1255,0.139,0.012,-1.5421,0.3785,-0.4788,-0.1818,0.6452,0.4402,0.4157,0.0705,-0.0727,0.2012,0.1373,-0.1982,-0.5279,-0.1215,0.0566,-0.0187,-0.0996,1.2467,-0.44,0.2165,0.7851,0.0144,0.575,-0.2953,-0.1276,-0.8074,0.1446,0.8483,0.5442,0.264,0.736,0.6486,0.532,0.5158,-1.2749,-0.1368,-0.6937,0.9122,-0.0316,0.4378,-0.0683,-0.1042,1.2179,0.3556,-0.1534,0.2949,-0.5252,0.6238,1.0545,-1.2534,-0.0534,-0.4716,-0.0483,-0.5206,-0.8315,-0.2817,0.629,1.6093,-0.3545,0.0198,-2.2825,0.2349,0.9098,0.9886,-0.1468,0.278,0.9523,0.2007,-0.7161,0.2119,-0.1202,-0.7966,0.0638,0.4508,0.0822,0.3802,-0.0947,0.2334,-0.002,-0.4238,-0.0069,0.356,-0.3753,0.3071,-0.1229,-0.2642,0.6833,0.0422,0.0181,0.598,0.402,-0.2323,-0.1582,-0.3929,0.6711,-2.3549,0.4674,-0.3356,-0.3492,0.5986,-0.0673,0.322,-0.0483,-1.1677,-0.3445,0.2092,-0.7069,-0.3835,0.1832,-0.1216,0.313,0.097,0.0668,1.1418,-0.4888,0.346,-1.7486,-1.4293,-0.6449,1.1942,0.7618,-1.8094,-1.3336,-0.8535,-0.0658,-0.141,0.0244,0.1598,0.1506,0.0065,0.5631,-0.0211,0.1091,0.0334,-0.4461,0.6629,0.1552,-0.5007,0.3868,-0.4534,0.643,0.633,-0.3373,-0.5322,0.2841,0.2494,-0.7492,0.1653,0.6472,-0.0531,0.7291,-0.1545,0.5056,0.1252,-0.0409,0.6644,-0.0983,-0.401,-0.5867,-0.0916,-0.0777,0.238,0.1016,-0.1566,0.7065,-0.4845,0.2219,0.4277,0.2199,-0.5306,0.3319,-0.6479
"ENSG00000154269.14_ENPP3",-0.3788,0.872,-0.857,0.3704,-0.7447,-2.4215,0.3944,1.4474,0.4307,-0.0291,-0.5204,-0.3082,0.4325,-0.3474,-0.1842,-0.3957,0.6119,-0.1678,-0.0213,0.308,0.6256,0.3096,-0.7519,0.7968,0.4488,-0.1541,-0.0227,-0.2985,-0.0249,-1.0403,0.1055,-0.9453,0.0407,0.5077,-1.0418,-0.9663,0.309,1.1127,-0.4628,0.0099,-1.4332,-0.1098,0.2031,-0.3918,0.9344,0.6728,1.0882,-0.0931,0.3706,-0.3566,0.4475,0.231,0.3626,-0.5603,0.4065,0.575,0.2865,-0.3323,0.9149,-0.4102,0.6039,0.6384,1.4887,2.2827,-0.3782,-1.1035,-1.3302,0.7961,0.8156,0.64,0.7086,-0.788,-0.6877,-1.3019,1.1093,-2.3202,1.2046,1.0411,0.8691,0.1878,0.4885,-0.5411,-0.7772,1.6676,-0.3525,-0.3093,0.5447,-0.4919,-0.3077,0.3417,0.6803,0.0626,-0.9794,-0.6392,1.3746,0.2931,-0.3307,-0.0534,-0.3022,-0.0876,0.4258,-0.6864,-1.6362,-1.3105,0.5494,0.5896,-1.5539,0.8681,-1.7633,0.3446,-3.2775,-0.2966,-0.2911,0.2273,-0.1743,-0.0624,1.1996,1.1234,1.2938,-0.1101,0.3289,0.2875,-0.609,-0.2506,-0.0761,0.7856,0.1187,-1.0189,0.6406,-2.7395,0.3021,0.2126,-0.4118,-1.1662,0.1517,-0.0838,-2.6068,-0.9757,-0.1822,-1.6556,0.4376,-0.4117,0.1924,0.4802,1.3197,-1.1743,0.0893,1.1246,0.4033,1.6903,-0.2202,-1.4941,-0.2775,1.0854,0.1081,-0.2659,0.5761,0.049,0.9383,0.714,0.5777,0.3297,0.4335,0.1699,0.3509,1.1846,-0.267,0.0552,0.9422,-0.5034,-0.4298,-1.9226,0.5166,-0.2318,0.2857,-0.2925,0.3969,0.2066,0.9384,-1.8871,0.2279,0.5105,0.1722,1.0999,0.5735,0.4241,-0.3488
